traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
甲鎧,甲铠,jia3 kai3],armor,,,,,,,,,,,,,,,,,
甲骨,甲骨,jia3 gu3],tortoise shell and animal bones used in divination,oracle bone inscriptions (an early form of Chinese script),,,,,,,,,,,,,,,,
甲骨文,甲骨文,jia3 gu3 wen2],oracle script,oracle bone inscriptions (an early form of Chinese script),,,,,,,,,,,,,,,,
甲骨文字,甲骨文字,jia3 gu3 wen2 zi4],oracle script,oracle bone character (an early form of Chinese script),,,,,,,,,,,,,,,,
甲魚,甲鱼,jia3 yu2],turtle,terrapin,Taiwan pr. [jia4 yu2],,,,,,,,,,,,,,,
申,申,Shen1],old name for Shanghai 上海[Shang4 hai3],surname Shen,,,,,,,,,,,,,,,,
申,申,shen1],to extend,to state,to explain,9th earthly branch: 3-5 p.m. 7th solar month (7th August-7th September) year of the Monkey,ancient Chinese compass point: 240°,,,,,,,,,,,,,
申不害,申不害,Shen1 Bu4 hai4],Shen Buhai (385-337 BC) legalist political thinker,,,,,,,,,,,,,,,,,
申令,申令,shen1 ling4],an order,a command,,,,,,,,,,,,,,,,
申冤,申冤,shen1 yuan1],to appeal for justice,to demand redress for a grievance,,,,,,,,,,,,,,,,
申命記,申命记,Shen1 ming4 ji4],Book of Deuteronomy,Fifth Book of Moses,,,,,,,,,,,,,,,,
申城,申城,Shen1 cheng2],alternative name for Shanghai 上海[Shang4 hai3],alternative name for Xinyang City Henan 信陽市|信阳市[Xin4 yang2 Shi4],,,,,,,,,,,,,,,,
申報,申报,shen1 bao4],to report (to the authorities),to declare (to customs),,,,,,,,,,,,,,,,
申報單,申报单,shen1 bao4 dan1],declaration form,,,,,,,,,,,,,,,,,
申奏,申奏,shen1 zou4],to present (a document),to submit (a petition),,,,,,,,,,,,,,,,
申屠,申屠,Shen1 tu2],two-character surname Shentu,,,,,,,,,,,,,,,,,
申扎,申扎,Shen1 zha1],Xainza county Tibetan: Shan rtsa rdzong in Nagchu prefecture 那曲地區|那曲地区[Na4 qu3 di4 qu1] central Tibet,,,,,,,,,,,,,,,,,
申扎縣,申扎县,Shen1 zha1 xian4],Xainza county Tibetan: Shan rtsa rdzong in Nagchu prefecture 那曲地區|那曲地区[Na4 qu3 di4 qu1] central Tibet,,,,,,,,,,,,,,,,,
申斥,申斥,shen1 chi4],to rebuke,to blame,to denounce,,,,,,,,,,,,,,,
申明,申明,shen1 ming2],to declare,to aver,to state formally,,,,,,,,,,,,,,,
申時,申时,shen1 shi2],3-5 pm (in the system of two-hour subdivisions used in former times),,,,,,,,,,,,,,,,,
