受寵若驚,受宠若惊,shou4 chong3 ruo4 jing1],overwhelmed by favor from superior (humble expr.),,,,,,,,,,,,,,,,,
受性,受性,shou4 xing4],inborn (ability defect),,,,,,,,,,,,,,,,,
受惠,受惠,shou4 hui4],to benefit,favored,,,,,,,,,,,,,,,,
受戒,受戒,shou4 jie4],to take oaths as a monk (Buddhism),to take orders,,,,,,,,,,,,,,,,
受持,受持,shou4 chi2],to accept and maintain faith (Buddhism),,,,,,,,,,,,,,,,,
受挫,受挫,shou4 cuo4],thwarted,obstructed,setback,,,,,,,,,,,,,,,
受損,受损,shou4 sun3],to suffer damage,,,,,,,,,,,,,,,,,
受支配,受支配,shou4 zhi1 pei4],subject to (foreign domination emotions etc),,,,,,,,,,,,,,,,,
受教,受教,shou4 jiao4],to receive instruction,to benefit from advice,,,,,,,,,,,,,,,,
受暑,受暑,shou4 shu3],affected by heat,to suffer heatstroke or sunstroke,,,,,,,,,,,,,,,,
受格,受格,shou4 ge2],objective,,,,,,,,,,,,,,,,,
受業,受业,shou4 ye4],to study,to learn from a master,(pupil's first person pronoun) I your student,,,,,,,,,,,,,,,
受權,受权,shou4 quan2],authorized,entrusted (with authority),,,,,,,,,,,,,,,,
受歡迎,受欢迎,shou4 huan1 ying2],popular,well-received,,,,,,,,,,,,,,,,
受氣,受气,shou4 qi4],to be mistreated,to be bullied,,,,,,,,,,,,,,,,
受氣包,受气包,shou4 qi4 bao1],(fig.) punching bag,,,,,,,,,,,,,,,,,
受法律保護權,受法律保护权,shou4 fa3 lu:4 bao3 hu4 quan2],right to protection by law (law),,,,,,,,,,,,,,,,,
受洗,受洗,shou4 xi3],to receive baptism,baptized,,,,,,,,,,,,,,,,
受洗命名,受洗命名,shou4 xi3 ming4 ming2],to be christened,,,,,,,,,,,,,,,,,
