1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
御駕親征,御驾亲征,yu4 jia4 qin1 zheng1],the emperor leads his troops into battle (idiom),to take part personally in an expedition,,,,,,,,,,,,,,,,
徧,遍,bian4],variant of 遍[bian4],,,,,,,,,,,,,,,,,
徨,徨,huang2],irresolute,,,,,,,,,,,,,,,,,
復,复,fu4],to go and return,to return,to resume,to return to a normal or original state,to repeat,again,to recover,to restore,to turn over,to reply,to answer,to reply to a letter,to retaliate,to carry out,,,,
復交,复交,fu4 jiao1],to reopen diplomatic relations,,,,,,,,,,,,,,,,,
復仇,复仇,fu4 chou2],to avenge,vengeance,,,,,,,,,,,,,,,,
復位,复位,fu4 wei4],to restore sb or sth to its original position,to regain the throne,to reset (a dislocated joint an electronic device etc),reset,,,,,,,,,,,,,,
復信,复信,fu4 xin4],to reply to a letter,,,,,,,,,,,,,,,,,
復修,复修,fu4 xiu1],to restore (an ancient temple),,,,,,,,,,,,,,,,,
復健,复健,fu4 jian4],rehabilitation,recuperate,,,,,,,,,,,,,,,,
復元,复元,fu4 yuan2],variant of 復原|复原[fu4 yuan2],,,,,,,,,,,,,,,,,
復出,复出,fu4 chu1],to come back out of retirement,to get involved again after having withdrawn,,,,,,,,,,,,,,,,
復分解反應,复分解反应,fu4 fen1 jie3 fan3 ying4],metathesis (chemistry),,,,,,,,,,,,,,,,,
復原,复原,fu4 yuan2],to restore (sth) to (its) former condition,to recover from illness,recovery,,,,,,,,,,,,,,,
復古,复古,fu4 gu3],to return to old ways (a Confucian aspiration),to turn back the clock,neoclassical school during Tang and Song associated with classical writing 古文,retro (fashion style based on nostalgia esp. for 1960s),,,,,,,,,,,,,,
復古會,复古会,fu4 gu3 hui4],anti-Qing revolutionary party set up in 1904 under Cai Yuanpei 蔡元培,same as 光復會|光复会,,,,,,,,,,,,,,,,
復合,复合,fu4 he2],(of people who were estranged) to be reconciled,(of a couple) to get back together,,,,,,,,,,,,,,,,
復吸,复吸,fu4 xi1],to resume smoking (after giving up),to relapse into smoking or drug abuse,,,,,,,,,,,,,,,,
復命,复命,fu4 ming4],to report on completion of a mission,debriefing,,,,,,,,,,,,,,,,
復員,复员,fu4 yuan2],to demobilize,demobilization,,,,,,,,,,,,,,,,
復大,复大,Fu4 Da4],Fudan University Shanghai abbr. for 復旦大學|复旦大学[Fu4 dan4 Da4 xue2],,,,,,,,,,,,,,,,,
復婚,复婚,fu4 hun1],to remarry (the same person),,,,,,,,,,,,,,,,,
復學,复学,fu4 xue2],to return to school (after an interruption),to resume one's studies,,,,,,,,,,,,,,,,
復審,复审,fu4 shen3],to review a judicial case,to reexamine,,,,,,,,,,,,,,,,
復工,复工,fu4 gong1],to return to work (after stoppage),,,,,,,,,,,,,,,,,
復旦,复旦,Fu4 dan4],Fudan University Shanghai abbr. for 復旦大學|复旦大学[Fu4 dan4 Da4 xue2],,,,,,,,,,,,,,,,,
復旦大學,复旦大学,Fu4 dan4 Da4 xue2],Fudan University Shanghai,,,,,,,,,,,,,,,,,
復會,复会,fu4 hui4],to resume a meeting,,,,,,,,,,,,,,,,,
復查,复查,fu4 cha2],rechecking,re-inspection,reexamination,,,,,,,,,,,,,,,
復核,复核,fu4 he2],to reconsider,to reexamine,to review (e.g. a report prior to accepting it),,,,,,,,,,,,,,,
復歸,复归,fu4 gui1],to return,to come back,,,,,,,,,,,,,,,,
復活,复活,fu4 huo2],resurrection,,,,,,,,,,,,,,,,,
復活的軍團,复活的军团,Fu4 huo2 de5 jun1 tuan2],the Resurrected Army (CCTV documentary series about the Terracotta army),,,,,,,,,,,,,,,,,
復活節,复活节,Fu4 huo2 jie2],Easter,,,,,,,,,,,,,,,,,
復活節島,复活节岛,Fu4 huo2 jie2 dao3],Easter Island,,,,,,,,,,,,,,,,,
復活賽,复活赛,fu4 huo2 sai4],repechage (supplementary qualifying round in sports),,,,,,,,,,,,,,,,,
復現,复现,fu4 xian4],to reappear,to persist (in memory),,,,,,,,,,,,,,,,
復生,复生,fu4 sheng1],to be reborn,to recover,to come back to life,to regenerate,,,,,,,,,,,,,,
復甦,复苏,fu4 su1],to recover (health economic),to resuscitate,anabiosis,,,,,,,,,,,,,,,
復發,复发,fu4 fa1],to recur (of a disease),to reappear,to relapse (into a former bad state),,,,,,,,,,,,,,,
復習,复习,fu4 xi2],to review,revision,CL:次[ci4],,,,,,,,,,,,,,,
復職,复职,fu4 zhi2],to resume a post,,,,,,,,,,,,,,,,,
復興,复兴,Fu4 xing1],Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4] Hebei,Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4] north Taiwan,,,,,,,,,,,,,,,,
復興,复兴,fu4 xing1],to revive,to rejuvenate,,,,,,,,,,,,,,,,
復興區,复兴区,Fu4 xing1 qu1],Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4] Hebei,,,,,,,,,,,,,,,,,
復興時代,复兴时代,Fu4 xing1 Shi2 dai4],the Renaissance,,,,,,,,,,,,,,,,,
復興鄉,复兴乡,Fu4 xing1 xiang1],Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4] north Taiwan,,,,,,,,,,,,,,,,,
復興門,复兴门,Fu4 xing1 men2],Fuxingmen neighborhood of Beijing,,,,,,,,,,,,,,,,,
復興黨,复兴党,Fu4 xing1 dang3],Baath Party,,,,,,,,,,,,,,,,,
復舊,复旧,fu4 jiu4],to restore old way,to return to the past,,,,,,,,,,,,,,,,
復萌,复萌,fu4 meng2],to germinate again,,,,,,,,,,,,,,,,,
復蘇,复苏,fu4 su1],variant of 復甦|复苏[fu4 su1],to recover (health economic),to resuscitate,anabiosis,,,,,,,,,,,,,,
復診,复诊,fu4 zhen3],another visit to doctor,further diagnosis,,,,,,,,,,,,,,,,
復課,复课,fu4 ke4],to resume classes,,,,,,,,,,,,,,,,,
復議,复议,fu4 yi4],to reconsider,,,,,,,,,,,,,,,,,
復讀,复读,fu4 du2],to return to the same school and repeat a course from which one has already graduated as a result of failing to get good enough results to progress to one's desired higher-level school,,,,,,,,,,,,,,,,,
復讀生,复读生,fu4 du2 sheng1],student who repeats (a course grade etc) at school,,,,,,,,,,,,,,,,,
復轉,复转,fu4 zhuan3],to demobilize,to transfer to other tasks (of troops),,,,,,,,,,,,,,,,
復辟,复辟,fu4 bi4],to recover one's power or authority,restoration (of a past regime),,,,,,,,,,,,,,,,
復返,复返,fu4 fan3],to come back,to return,,,,,,,,,,,,,,,,
循,循,xun2],to follow,to adhere to,to abide by,,,,,,,,,,,,,,,
循分,循分,xun2 fen4],to abide by one's duties,,,,,,,,,,,,,,,,,
循化,循化,Xun2 hua4],Xunhua Salazu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1] Qinghai,,,,,,,,,,,,,,,,,
循化撒拉族自治縣,循化撒拉族自治县,Xun2 hua4 Sa3 la1 zu2 zi4 zhi4 xian4],Xunhua Salazu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1] Qinghai,,,,,,,,,,,,,,,,,
循化縣,循化县,Xun2 hua4 xian4],Xunhua Salazu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1] Qinghai,,,,,,,,,,,,,,,,,
循序漸進,循序渐进,xun2 xu4 jian4 jin4],in sequence step by step (idiom); to make steady progress incrementally,,,,,,,,,,,,,,,,,
循循善誘,循循善诱,xun2 xun2 shan4 you4],to guide patiently and systematically (idiom),,,,,,,,,,,,,,,,,
循環,循环,xun2 huan2],to cycle,to circulate,circle,loop,,,,,,,,,,,,,,
循環使用,循环使用,xun2 huan2 shi3 yong4],recycle,to use in cyclic order,,,,,,,,,,,,,,,,
循環小數,循环小数,xun2 huan2 xiao3 shu4],recurring decimal,,,,,,,,,,,,,,,,,
循環性,循环性,xun2 huan2 xing4],recurrent,,,,,,,,,,,,,,,,,
循環節,循环节,xun2 huan2 jie2],recurring section of a rational decimal,,,,,,,,,,,,,,,,,
循環系統,循环系统,xun2 huan2 xi4 tong3],circulatory system,,,,,,,,,,,,,,,,,
循環論證,循环论证,xun2 huan2 lun4 zheng4],circular argument,logical error consisting of begging the question,Latin: petitio principii,,,,,,,,,,,,,,,
循環賽,循环赛,xun2 huan2 sai4],round-robin tournament,,,,,,,,,,,,,,,,,
循著,循着,xun2 zhe5],to follow,,,,,,,,,,,,,,,,,
循規蹈矩,循规蹈矩,xun2 gui1 dao3 ju3],to follow the compass and go with the set square (idiom); to follow the rules inflexibly,to act according to convention,,,,,,,,,,,,,,,,
循道宗,循道宗,Xun2 dao4 zong1],Methodism,,,,,,,,,,,,,,,,,
徬,徬,pang2],irresolute,,,,,,,,,,,,,,,,,
徭,徭,yao2],compulsory service,,,,,,,,,,,,,,,,,
徭役,徭役,yao2 yi4],forced labor,corvee,,,,,,,,,,,,,,,,
微,微,Wei1],surname Wei,ancient Chinese state near present day Chongqing,Taiwan pr. [Wei2],,,,,,,,,,,,,,,
微,微,wei1],tiny,miniature,slightly,profound,abtruse,to decline,one millionth part of,micro-,Taiwan pr. [wei2],,,,,,,,,
微不足道,微不足道,wei1 bu4 zu2 dao4],negligible,insignificant,,,,,,,,,,,,,,,,
微中子,微中子,wei1 zhong1 zi3],neutrino (particle physics),also written 中微子[zhong1 wei1 zi3],,,,,,,,,,,,,,,,
微乎其微,微乎其微,wei1 hu1 qi2 wei1],a tiny bit,very little,next to nothing (idiom),,,,,,,,,,,,,,,
微信,微信,Wei1 xin4],Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊|腾讯[Teng2 xun4]),,,,,,,,,,,,,,,,,
微光,微光,wei1 guang1],glimmer,,,,,,,,,,,,,,,,,
微克,微克,wei1 ke4],microgram (μg),,,,,,,,,,,,,,,,,
微分,微分,wei1 fen1],(math.) differential (of a function),differential (equation etc),to differentiate,differentiation,,,,,,,,,,,,,,
微分學,微分学,wei1 fen1 xue2],differential calculus,,,,,,,,,,,,,,,,,
微分幾何,微分几何,wei1 fen1 ji3 he2],differential geometry,,,,,,,,,,,,,,,,,
微分幾何學,微分几何学,wei1 fen1 ji3 he2 xue2],differential geometry,,,,,,,,,,,,,,,,,
微分方程,微分方程,wei1 fen1 fang1 cheng2],differential equation (math.),,,,,,,,,,,,,,,,,
微創手術,微创手术,wei1 chuang1 shou3 shu4],minimally invasive surgery,,,,,,,,,,,,,,,,,
微動脈,微动脉,wei1 dong4 mai4],capillary artery,,,,,,,,,,,,,,,,,
微升,微升,wei1 sheng1],microliter,,,,,,,,,,,,,,,,,
微博,微博,wei1 bo2],micro-blogging,microblog,,,,,,,,,,,,,,,,
微博客,微博客,wei1 bo2 ke4],micro-blogging,microblog,,,,,,,,,,,,,,,,
微商,微商,wei1 shang1],(math.) derivative,,,,,,,,,,,,,,,,,
微囊,微囊,wei1 nang2],microcapsule,caplet (pharm.),,,,,,,,,,,,,,,,
微型,微型,wei1 xing2],miniature,micro-,tiny,,,,,,,,,,,,,,,
微型封裝塊,微型封装块,wei1 xing2 feng1 zhuang1 kuai4],microcapsule,,,,,,,,,,,,,,,,,
微型小說,微型小说,wei1 xing2 xiao3 shuo1],flash fiction,,,,,,,,,,,,,,,,,
微塵,微尘,wei1 chen2],dust,(Buddhism) minutest particle of matter,,,,,,,,,,,,,,,,
微妙,微妙,wei1 miao4],subtle,,,,,,,,,,,,,,,,,
微孔膜,微孔膜,wei1 kong3 mo2],microporous membrane,,,,,,,,,,,,,,,,,
微安,微安,wei1 an1],microampere (one millionth of amp),also written 微安培,,,,,,,,,,,,,,,,
微安培,微安培,wei1 an1 pei2],microampere (one millionth of amp),,,,,,,,,,,,,,,,,
微小,微小,wei1 xiao3],minute (i.e. extremely small),infinitesimal,,,,,,,,,,,,,,,,
微小病毒科,微小病毒科,wei1 xiao3 bing4 du2 ke1],Picornaviridae (virus family including many human pathogens),small RNA virus,,,,,,,,,,,,,,,,
微山,微山,Wei1 shan1],Weishan County in Jining 濟寧|济宁[Ji3 ning2] Shandong,,,,,,,,,,,,,,,,,
微山縣,微山县,Wei1 shan1 Xian4],Weishan County in Jining 濟寧|济宁[Ji3 ning2] Shandong,,,,,,,,,,,,,,,,,
微弱,微弱,wei1 ruo4],weak,faint,feeble,,,,,,,,,,,,,,,
微徑,微径,wei1 jing4],small path,,,,,,,,,,,,,,,,,
微微,微微,wei1 wei1],slight,faint,humble,,,,,,,,,,,,,,,
微恙,微恙,wei1 yang4],slight illness,indisposition,,,,,,,,,,,,,,,,
微擾,微扰,wei1 rao3],infinitesimal disturbance,perturbation (physics),,,,,,,,,,,,,,,,
微擾展開,微扰展开,wei1 rao3 zhan3 kai1],perturbative expansion (physics),,,,,,,,,,,,,,,,,
微擾論,微扰论,wei1 rao3 lun4],perturbation theory,,,,,,,,,,,,,,,,,
微明,微明,wei1 ming2],twilight,,,,,,,,,,,,,,,,,
微星,微星,Wei1 xing1],Micro-Star International (MSI) Taiwanese computer hardware company,,,,,,,,,,,,,,,,,
微晶,微晶,wei1 jing1],microcrystal,,,,,,,,,,,,,,,,,
微晶片,微晶片,wei1 jing1 pian4],microchip,,,,,,,,,,,,,,,,,
微服,微服,wei1 fu2],(of a high-ranking official) to wear plain clothes in order to go about incognito,,,,,,,,,,,,,,,,,
微服私訪,微服私访,wei1 fu2 si1 fang3],to mingle with the people incognito,,,,,,,,,,,,,,,,,
微末,微末,wei1 mo4],tiny,negligible,,,,,,,,,,,,,,,,
微機,微机,wei1 ji1],micro (computer),,,,,,,,,,,,,,,,,
微機化,微机化,wei1 ji1 hua4],miniaturization,micro-miniaturization,,,,,,,,,,,,,,,,
微波,微波,wei1 bo1],ripple,microwave,,,,,,,,,,,,,,,,
微波天線,微波天线,wei1 bo1 tian1 xian4],microwave antenna,,,,,,,,,,,,,,,,,
微波爐,微波炉,wei1 bo1 lu2],microwave oven,CL:臺|台[tai2],,,,,,,,,,,,,,,,
微溶,微溶,wei1 rong2],slightly soluble,,,,,,,,,,,,,,,,,
微漠,微漠,wei1 mo4],faint (almost inaudible or invisible),,,,,,,,,,,,,,,,,
微火,微火,wei1 huo3],a low fire (for roasting),,,,,,,,,,,,,,,,,
微生物,微生物,wei1 sheng1 wu4],microorganism,,,,,,,,,,,,,,,,,
微生物學,微生物学,wei1 sheng1 wu4 xue2],microbiology,,,,,,,,,,,,,,,,,
微生物學家,微生物学家,wei1 sheng1 wu4 xue2 jia1],microbiologist,,,,,,,,,,,,,,,,,
微秒,微秒,wei1 miao3],microsecond µs 10^-6 s,,,,,,,,,,,,,,,,,
微積分,微积分,wei1 ji1 fen1],calculus,differentiation and integration,calculus of infinitesimals 微 and integrals 積|积,,,,,,,,,,,,,,,
微積分基本定理,微积分基本定理,wei1 ji1 fen1 ji1 ben3 ding4 li3],fundamental theorem of calculus,,,,,,,,,,,,,,,,,
微積分學,微积分学,wei1 ji1 fen1 xue2],infinitesimal calculus,calculus,,,,,,,,,,,,,,,,
微笑,微笑,wei1 xiao4],smile,CL:個|个[ge4]絲|丝[si1],to smile,,,,,,,,,,,,,,,
微管,微管,wei1 guan3],tubule,microtubule,,,,,,,,,,,,,,,,
微管蛋白,微管蛋白,wei1 guan3 dan4 bai2],tubulin,,,,,,,,,,,,,,,,,
微米,微米,wei1 mi3],micron (one thousandth of a millimeter or 10^-6 meter),,,,,,,,,,,,,,,,,
微粒,微粒,wei1 li4],speck,particle,,,,,,,,,,,,,,,,
微粒體,微粒体,wei1 li4 ti3],microsome,,,,,,,,,,,,,,,,,
微細,微细,wei1 xi4],microminiature (technology),,,,,,,,,,,,,,,,,
微細加工,微细加工,wei1 xi4 jia1 gong1],microminiature technology,,,,,,,,,,,,,,,,,
微絲,微丝,wei1 si1],microfilament,,,,,,,,,,,,,,,,,
微絲血管,微丝血管,wei1 si1 xue4 guan3],capillary blood vessels,,,,,,,,,,,,,,,,,
微縮,微缩,wei1 suo1],compact,micro-,miniature,to miniaturize,,,,,,,,,,,,,,
微縮膠捲,微缩胶卷,wei1 suo1 jiao1 juan3],microfilm,,,,,,,,,,,,,,,,,
微聚焦,微聚焦,wei1 ju4 jiao1],microfocus x-ray computed tomography (microCT),,,,,,,,,,,,,,,,,
微膠囊技術,微胶囊技术,wei1 jiao1 nang2 ji4 shu4],microencapsulation,,,,,,,,,,,,,,,,,
微臣,微臣,wei1 chen2],this small official,humble servant,,,,,,,,,,,,,,,,
微茫,微茫,wei1 mang2],hazy,blurred,,,,,,,,,,,,,,,,
微菌,微菌,wei1 jun1],bacterium,germ,,,,,,,,,,,,,,,,
微薄,微薄,wei1 bo2],scanty,meager,,,,,,,,,,,,,,,,
微處理器,微处理器,wei1 chu3 li3 qi4],microprocessor,,,,,,,,,,,,,,,,,
微處理機,微处理机,wei1 chu3 li3 ji1],microprocessor,,,,,,,,,,,,,,,,,
微血管,微血管,wei1 xue4 guan3],capillary,,,,,,,,,,,,,,,,,
微觀,微观,wei1 guan1],micro-,sub-atomic,,,,,,,,,,,,,,,,
微觀世界,微观世界,wei1 guan1 shi4 jie4],microcosm,the microscopic world,,,,,,,,,,,,,,,,
微觀經濟,微观经济,wei1 guan1 jing1 ji4],micro-economic,,,,,,,,,,,,,,,,,
微調,微调,wei1 tiao2],fine tuning,trimming,,,,,,,,,,,,,,,,
微賤,微贱,wei1 jian4],humble,lowly,,,,,,,,,,,,,,,,
微軟,微软,Wei1 ruan3],Microsoft corporation,,,,,,,,,,,,,,,,,
微軟公司,微软公司,Wei1 ruan3 Gong1 si1],Microsoft Corporation,,,,,,,,,,,,,,,,,
微辣,微辣,wei1 la4],mildly spicy,,,,,,,,,,,,,,,,,
微速攝影,微速摄影,wei1 su4 she4 ying3],time-lapse photography,,,,,,,,,,,,,,,,,
微醺,微醺,wei1 xun1],tipsy,,,,,,,,,,,,,,,,,
微量,微量,wei1 liang4],a smidgen,minute,micro-,trace (element),,,,,,,,,,,,,,
微量元素,微量元素,wei1 liang4 yuan2 su4],trace element (chemistry),,,,,,,,,,,,,,,,,
微量白蛋白,微量白蛋白,wei1 liang4 bai2 dan4 bai2],microalbumin,,,,,,,,,,,,,,,,,
微雕,微雕,wei1 diao1],a miniature (carving),,,,,,,,,,,,,,,,,
微電子,微电子,wei1 dian4 zi3],microelectronics,,,,,,,,,,,,,,,,,
微電子學,微电子学,wei1 dian4 zi3 xue2],microelectronics,,,,,,,,,,,,,,,,,
微電腦,微电脑,wei1 dian4 nao3],microcomputer,,,,,,,,,,,,,,,,,
微靜脈,微静脉,wei1 jing4 mai4],capillary vein,,,,,,,,,,,,,,,,,
微風,微风,wei1 feng1],breeze,light wind,,,,,,,,,,,,,,,,
微駝,微驼,wei1 tuo2],stooping,hunched,,,,,,,,,,,,,,,,
徯,徯,xi1],footpath,wait for,,,,,,,,,,,,,,,,
徯徑,徯径,xi1 jing4],path,way (method),,,,,,,,,,,,,,,,
徳,徳,de2],Japanese variant of 德,,,,,,,,,,,,,,,,,
徴,徴,zheng1],Japanese variant of 徵|征,,,,,,,,,,,,,,,,,
徵,征,zheng1],to invite,to recruit,to levy (taxes),to draft (troops),phenomenon,symptom,characteristic sign (used as proof),evidence,,,,,,,,,,
徵,徵,zhi3],4th note in pentatonic scale 五音[wu3 yin1] roughly sol,see also 徵|征[zheng1],,,,,,,,,,,,,,,,
徵信,征信,zheng1 xin4],to examine the reliability,reliable,credit reporting,,,,,,,,,,,,,,,
徵信社,征信社,zheng1 xin4 she4],(Taiwan) private investigator,credit bureau,,,,,,,,,,,,,,,,
徵候,征候,zheng1 hou4],sign,indication,symptom,,,,,,,,,,,,,,,
徵傳,征传,zheng1 zhuan4],narrative of long journey,campaign record,,,,,,,,,,,,,,,,
徵兆,征兆,zheng1 zhao4],omen,sign (that sth is about to happen),warning sign,,,,,,,,,,,,,,,
徵兵,征兵,zheng1 bing1],to levy troops,recruitment,,,,,,,,,,,,,,,,
徵募,征募,zheng1 mu4],to conscript,,,,,,,,,,,,,,,,,
徵友,征友,zheng1 you3],to seek new friends through personal ads dating apps etc,,,,,,,,,,,,,,,,,
徵召,征召,zheng1 zhao4],to enlist,to draft,to conscript,to appoint to an official position,,,,,,,,,,,,,,
徵名責實,征名责实,zheng1 ming2 ze2 shi2],to seek out the real nature based on the name (idiom); to judge sth at face value,,,,,,,,,,,,,,,,,
徵士,征士,zheng1 shi4],soldier (in battle),,,,,,,,,,,,,,,,,
徵婚,征婚,zheng1 hun1],to look for a partner,,,,,,,,,,,,,,,,,
徵實,征实,zheng1 shi2],levies in kind,grain tax,,,,,,,,,,,,,,,,
徵才,征才,zheng1 cai2],to recruit,,,,,,,,,,,,,,,,,
徵收,征收,zheng1 shou1],to levy (a fine),to impose (a tariff),,,,,,,,,,,,,,,,
徵求,征求,zheng1 qiu2],to solicit,to seek,to request (opinions feedback etc),to petition,,,,,,,,,,,,,,
徵狀,征状,zheng1 zhuang4],symptom,,,,,,,,,,,,,,,,,
徵發,征发,zheng1 fa1],a punitive expedition,a requisition,,,,,,,,,,,,,,,,
徵稅,征税,zheng1 shui4],to levy taxes,,,,,,,,,,,,,,,,,
徵稿,征稿,zheng1 gao3],to solicit contributions (to a publication),,,,,,,,,,,,,,,,,
徵聘,征聘,zheng1 pin4],to invite job applications,to recruit,,,,,,,,,,,,,,,,
徵調,征调,zheng1 diao4],to conscript,to second (personnel),to requisition (supplies etc),,,,,,,,,,,,,,,
徵象,征象,zheng1 xiang4],sign,symptom,,,,,,,,,,,,,,,,
徵選,征选,zheng1 xuan3],to call for entries and select the best,to solicit (entries submissions applications etc),to select (the best candidate),contest,competition,,,,,,,,,,,,,
徵集,征集,zheng1 ji2],to collect,to recruit,,,,,,,,,,,,,,,,
德,德,De2],Germany,German,abbr. for 德國|德国[De2 guo2],,,,,,,,,,,,,,,
德,德,de2],virtue,goodness,morality,ethics,kindness,favor,character,kind,,,,,,,,,,
德仁,德仁,De2 ren2],Naruhito (1960-) crown prince of Japan,,,,,,,,,,,,,,,,,
德令哈,德令哈,De2 ling4 ha1],Delingha city in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hai3 xi1 Meng3 gu3 zu2 Zang4 zu2 zi4 zhi4 zhou1] Qinghai,,,,,,,,,,,,,,,,,
德令哈市,德令哈市,De2 ling4 ha1 shi4],Delingha city in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hai3 xi1 Meng3 gu3 zu2 Zang4 zu2 zi4 zhi4 zhou1] Qinghai,,,,,,,,,,,,,,,,,
德保,德保,De2 bao3],Debao county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
德保縣,德保县,De2 bao3 xian4],Debao county in Baise 百色[Bai3 se4] Guangxi,,,,,,,,,,,,,,,,,
德倫特,德伦特,De2 lun2 te4],Drenthe (name),Drenthe (province in Netherlands),,,,,,,,,,,,,,,,
德先生,德先生,De2 xian1 sheng5],Mr Democracy phrase used during the May 4th Movement 五四運動|五四运动[Wu3 si4 Yun4 dong4],abbr. for 德謨克拉西|德谟克拉西[de2 mo2 ke4 la1 xi1],see also 賽先生|赛先生[Sai4 xian1 sheng5],,,,,,,,,,,,,,,
德克薩斯,德克萨斯,De2 ke4 sa4 si1],Texas,,,,,,,,,,,,,,,,,
德克薩斯州,德克萨斯州,De2 ke4 sa4 si1 zhou1],state of Texas,,,,,,,,,,,,,,,,,
德勒巴克,德勒巴克,De2 le4 ba1 ke4],Drøbak (city in Akershus Norway),,,,,,,,,,,,,,,,,
德勒茲,德勒兹,De2 le4 zi1],Gilles Deleuze (1925-1995) French philosopher,,,,,,,,,,,,,,,,,
德勝門,德胜门,De2 sheng4 men2],Deshengmen (Beijing),,,,,,,,,,,,,,,,,
德化,德化,De2 hua4],Dehua county in Quanzhou 泉州[Quan2 zhou1] Fujian,,,,,,,,,,,,,,,,,
德化縣,德化县,De2 hua4 xian4],Dehua county in Quanzhou 泉州[Quan2 zhou1] Fujian,,,,,,,,,,,,,,,,,
